Name,Node_Type,Coverage_Region,Site
3RNCBPL1H,RNC,BKK,BLP
3RNCBPL2H,RNC,BKK,BLP
3RNCBPL3H,RNC,BKK,BLP
3RNCCWD1H,RNC,BKK,CWD
3RNCCWD2H,RNC,BKK,CWD
3RNCCWD3H,RNC,BKK,CWD
3RNCSUK1H,RNC,BKK,SUK
3RNCSUK2H,RNC,BKK,SUK
3RNCSUK3H,RNC,BKK,SUK
3RNCTWA1H,RNC,BKK,TWA
3RNCTWA2H,RNC,BKK,TWA
3RNCTWA3H,RNC,BKK,TWA
3RNCNMA1Z,RNC,Northeast,NMA
3RNCNMA2Z,RNC,Northeast,NMA
3RNCNMA3Z,RNC,Northeast,NMA
3RNCNMA4Z,RNC,Northeast,NMA
3RNCNMA5Z,RNC,Northeast,NMA
3RNCNMA6Z,RNC,Northeast,NMA
3RNCNMA7Z,RNC,Northeast,NMA
3RNCKKN1Z,RNC,Northeast,KKN
3RNCKKN2Z,RNC,Northeast,KKN
3RNCKKN3Z,RNC,Northeast,KKN
3RNCKKN4Z,RNC,Northeast,KKN
3RNCKKN5Z,RNC,Northeast,KKN
3RNCKKN6Z,RNC,Northeast,KKN
3RNCKKN7Z,RNC,Northeast,KKN
3RNCAYA1Z,RNC,Central,AYA
3RNCAYA2Z,RNC,Central,AYA
3RNCAYA3Z,RNC,Central,AYA
3RNCAYA4Z,RNC,Central,AYA
3RNCAYA5Z,RNC,Central,AYA
3RNCNPT1Z,RNC,Central,NPT
3RNCNPT2Z,RNC,Central,NPT
3RNCNPT3Z,RNC,Central,NPT
3RNCNPT4Z,RNC,Central,NPT
3RNCNPT5Z,RNC,Central,NPT
3RNCCBI1N,RNC,East,CBI
3RNCCBI2N,RNC,East,CBI
3RNCCBI4N,RNC,East,CBI
3RNCCBI5N,RNC,East,CBI
3RNCCBI6N,RNC,East,CBI
3RNCCBI7N,RNC,East,CBI
3RNCCBI8N,RNC,East,CBI
3RNCCBI9N,RNC,East,CBI
3RNCCBI10N,RNC,East,CBI
3RNCPTY1N,RNC,East,PTY
3RNCPTY2N,RNC,East,PTY
3RNCPTY3N,RNC,East,PTY
3RNCPTY4N,RNC,East,PTY
3RNCPTY5N,RNC,East,PTY
3RNCPTY6N,RNC,East,PTY
3RNCPTY7N,RNC,East,PTY
3RNCPTY8N,RNC,East,PTY
3RNCPTY9N,RNC,East,PTY
3RNCPTY10N,RNC,East,PTY
3RNCCMI1H,RNC,North,CMI
3RNCCMI2H,RNC,North,CMI
3RNCCMI3H,RNC,North,CMI
3RNCCMI4H,RNC,North,CMI
3RNCPLK1H,RNC,North,PLK
3RNCPLK2H,RNC,North,PLK
3RNCPLK3H,RNC,North,PLK
3RNCPLK4H,RNC,North,PLK
3RNCHYI1H,RNC,South,HYI
3RNCHYI2H,RNC,South,HYI
3RNCHYI3H,RNC,South,HYI
3RNCHYI4H,RNC,South,HYI
3RNCSNI1H,RNC,South,SNI
3RNCSNI2H,RNC,South,SNI
3RNCSNI3H,RNC,South,SNI
3RNCSNI4H,RNC,South,SNI
3SGSNBPL1H,SGSN,,BPL
3SGSNBPL2H,SGSN,,BPL
3SGSNCMI1H,SGSN,,CMI
3SGSNCWD2H,SGSN,,CWD
3SGSNPLK1H,SGSN,,PLK
3SGSNSNI1H,SGSN,,SNI
3SGSNSUK1H,SGSN,,SUK
3SGSNSUK2H,SGSN,,SUK
3SGSNTWA2H,SGSN,,TWA
3SGSNTWA3H,SGSN,,TWA
3GGSNCWD2N,GGSN,,CWD
3GGSNCWD3N,GGSN,,CWD
3GGSNCWD4N,GGSN,,CWD
3GGSNCWD5N,GGSN,,CWD
3GGSNCWD6N,GGSN,,CWD
3GGSNCWD7N,GGSN,,CWD
3GGSNCWD8N,GGSN,,CWD
3GGSNCWD10N,GGSN,,CWD
3GGSNCWD11H,GGSN,,CWD
3GGSNSUK2N,GGSN,,SUK
3GGSNSUK3N,GGSN,,SUK
3GGSNSUK4N,GGSN,,SUK
3GGSNSUK5N,GGSN,,SUK
3GGSNSUK6N,GGSN,,SUK
3GGSNSUK7N,GGSN,,SUK
3GGSNSUK8N,GGSN,,SUK
3GGSNSUK9N,GGSN,,SUK
3GGSNSUK10N,GGSN,,SUK
3GGSNSUK98N,GGSN,,SUK
3GGSNSUK11H,GGSN,,SUK
3GGSNSUK12H,GGSN,,SUK
3GGSNTLS1H,GGSN,,TLS
3GGSNTLS2H,GGSN,,TLS
